viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2
0,169274,Concepcion,Cristo Redentor,20069,L2,V1,2025-08-08 18:20:20,2025-08-08 19:13:13,CC→CW,2025-08-08,,20069,20069
1,175535,Cristo Redentor,Los Canelos,20018,L2,V1,2025-08-08 08:25:49,2025-08-08 08:31:43,CW→CC,2025-08-08,,20018,20018
2,176411,Huinca,Costa Mar,20004,L2,V1,2025-08-08 06:42:51,2025-08-08 07:10:53,CW→CC,2025-08-08,,20004,20004
3,176411,Cdal. Raul Silva Henriquez,Huinca,20059,L2,V1,2025-08-08 17:20:58,2025-08-08 18:02:46,CC→CW,2025-08-08,,20059,20057
4,176608,Huinca,Concepcion,20046,L2,V1,2025-08-08 13:47:11,2025-08-08 14:56:18,CW→CC,2025-08-08,,20046,20046
5,176608,Concepcion,Los Canelos,20057,L2,V1,2025-08-08 16:46:19,2025-08-08 17:26:56,CC→CW,2025-08-08,,20057,20057
6,176643,Costa Mar,Hito Galvarino,20049,L2,V1,2025-08-08 15:16:59,2025-08-08 15:41:51,CC→CW,2025-08-08,,20049,20047
7,176643,Hito Galvarino,Cdal. Raul Silva Henriquez,20084,L2,V1,2025-08-08 19:36:10,2025-08-08 20:02:28,CW→CC,2025-08-08,,20084,20084
8,177227,Hito Galvarino,Concepcion,20008,L2,V1,2025-08-08 07:15:30,2025-08-08 08:00:35,CW→CC,2025-08-08,combo_por_entrada,20008,20303
9,177227,Concepcion,Hito Galvarino,20067,L2,V1,2025-08-08 18:11:02,2025-08-08 18:42:02,CC→CW,2025-08-08,,20067,20065
10,177558,Pedro Medina,Concepcion,20856,L1,V1,2025-08-08 15:51:48,2025-08-08 16:20:15,HQ→TH,2025-08-08,,20856,20856
11,177558,Concepcion,Pedro Medina,20326,L1,V1,2025-08-08 18:23:50,2025-08-08 18:48:44,TH→HQ,2025-08-08,,20326,20326
12,177883,Concepcion,Cdal. Raul Silva Henriquez,20075,L2,V1,2025-08-08 19:15:06,2025-08-08 19:51:02,CC→CW,2025-08-08,,20075,20075
13,177968,Manquimavida,Concepcion,20373,L1,V1,2025-08-08 08:22:08,2025-08-08 08:45:43,HQ→TH,2025-08-08,,20373,20373
14,177968,Concepcion,Manquimavida,,,N/A,2025-08-08 10:23:11,2025-08-08 10:47:33,,2025-08-08,sin_combo_factible_en_hub|sin_s1_factible_retro,,
15,178096,Los Condores,Concepcion,20865,L1,V1,2025-08-08 08:07:37,2025-08-08 08:30:13,TH→HQ,2025-08-08,,20865,20865
