viaje_idx,tarjeta_id,origen,destino,servicio_final,linea,version_que_gana,t_entrada_viaje,t_salida_viaje,direccion,dia_proceso,etiqueta,servicio_tramo_v1,servicio_tramo_v2
0,174637,UTF Santa Maria,Lzo. Arenas,20304,L1,V1,2025-09-30 07:45:30,2025-09-30 07:49:53,TH→HQ,2025-09-30,,20304,20304
1,176240,Higueras,La Leonera,20326,L1,V1,2025-09-30 18:08:27,2025-09-30 18:54:30,TH→HQ,2025-09-30,,20326,20326
2,176404,Pedro Medina,Lzo. Arenas,20331,L1,V1,2025-09-30 19:20:06,2025-09-30 19:39:29,HQ→TH,2025-09-30,,20331,20331
3,176483,Los Condores,Lzo. Arenas,20304,L1,V1,2025-09-30 07:39:45,2025-09-30 07:50:15,TH→HQ,2025-09-30,,20304,20304
4,176483,Lzo. Arenas,Concepcion,20328,L1,V1,2025-09-30 19:16:21,2025-09-30 19:40:09,TH→HQ,2025-09-30,,20328,20328
5,176608,Coronel,Juan Pablo II,20192,L2,V1,2025-09-30 13:15:27,2025-09-30 14:04:35,CW→CC,2025-09-30,,20192,20192
6,176608,Concepcion,Los Canelos,20059,L2,V1,2025-09-30 17:01:35,2025-09-30 18:06:40,CC→CW,2025-09-30,,20059,20059
7,176753,Lomas Coloradas,Hito Galvarino,20011,L2,V1,2025-09-30 08:32:17,2025-09-30 08:47:31,CC→CW,2025-09-30,,20011,20011
8,177254,Los Condores,Concepcion,20841,L1,V2,2025-09-30 07:09:30,2025-09-30 07:26:13,,2025-09-30,sin_combo_factible_en_hub|sin_s1_factible_retro,,20841
9,177382,Laguna Quinenco,Concepcion,20068,L2,V1,2025-09-30 17:27:10,2025-09-30 18:35:50,CW→CC,2025-09-30,,20068,20068
10,177512,Los Condores,Concepcion,20304,L1,V2,2025-09-30 07:36:22,2025-09-30 07:55:26,,2025-09-30,sin_combo_factible_en_hub|sin_s1_factible_retro,,20304
11,177652,Lomas Coloradas,Concepcion,20062,L2,V1,2025-09-30 17:17:36,2025-09-30 17:53:34,CW→CC,2025-09-30,,20062,20062
12,177748,Concepcion,Cdal. Raul Silva Henriquez,20085,L2,V1,2025-09-30 20:24:09,2025-09-30 21:04:53,CC→CW,2025-09-30,,20085,20085
13,177834,Cristo Redentor,Los Canelos,20078,L2,V1,2025-09-30 18:56:40,2025-09-30 19:13:48,CW→CC,2025-09-30,,20078,20078
14,177864,Coronel,Concepcion,20010,L2,V1,2025-09-30 07:12:18,2025-09-30 08:10:45,CW→CC,2025-09-30,,20010,20010
15,177864,Concepcion,Coronel,20079,L2,V1,2025-09-30 19:32:40,2025-09-30 20:42:18,CC→CW,2025-09-30,,20079,20077
16,177968,Manquimavida,Concepcion,20371,L1,V2,2025-09-30 07:23:21,2025-09-30 07:44:35,,2025-09-30,sin_combo_factible_en_hub|sin_s1_factible_retro,,20371
17,177968,Concepcion,Manquimavida,20310,L1,V1,2025-09-30 09:23:57,2025-09-30 09:48:02,TH→HQ,2025-09-30,,20310,20310
18,177998,Coronel,Concepcion,20062,L2,V1,2025-09-30 16:53:42,2025-09-30 17:55:30,CW→CC,2025-09-30,,20062,20062
19,178022,Concepcion,Los Condores,20333,L1,V1,2025-09-30 20:23:26,2025-09-30 20:54:16,HQ→TH,2025-09-30,,20333,20333
20,178064,La Leonera,Concepcion,20321,L1,V1,2025-09-30 15:56:21,2025-09-30 16:34:36,HQ→TH,2025-09-30,,20321,20321
21,178064,Concepcion,La Leonera,20324,L1,V1,2025-09-30 17:41:49,2025-09-30 18:23:53,TH→HQ,2025-09-30,,20324,20324
22,178071,Manquimavida,El Arenal,20311,L1,V1,2025-09-30 09:20:53,2025-09-30 10:13:41,HQ→TH,2025-09-30,,20311,20311
23,178071,El Arenal,Manquimavida,20328,L1,V1,2025-09-30 19:03:27,2025-09-30 19:50:01,TH→HQ,2025-09-30,,20328,20328
24,178095,Coronel,Cdal. Raul Silva Henriquez,20084,L2,V1,2025-09-30 19:41:41,2025-09-30 20:07:15,CW→CC,2025-09-30,,20084,20084
25,178158,Concepcion,Costa Mar,20075,L2,V1,2025-09-30 19:18:32,2025-09-30 19:41:32,CC→CW,2025-09-30,,20075,20075
26,178208,Concepcion,Manquimavida,20326,L1,V1,2025-09-30 18:29:36,2025-09-30 18:51:57,TH→HQ,2025-09-30,,20326,20326
27,178860,Diagonal Bio Bio,Concepcion,20028,L2,V1,2025-09-30 09:54:39,2025-09-30 10:20:14,CW→CC,2025-09-30,,20028,20028
28,178871,Huinca,Concepcion,20020,L2,V1,2025-09-30 08:31:59,2025-09-30 09:14:58,CW→CC,2025-09-30,,20020,20020
29,178874,Manquimavida,Concepcion,20375,L1,V1,2025-09-30 08:54:48,2025-09-30 10:02:12,HQ→TH,2025-09-30,combo_por_entrada,20375,20375
30,178897,Los Canelos,Alborada,20040,L2,V1,2025-09-30 12:24:51,2025-09-30 12:46:54,CW→CC,2025-09-30,,20040,20040
31,179011,Lomas Coloradas,Los Canelos,20051,L2,V1,2025-09-30 15:49:58,2025-09-30 16:13:19,CC→CW,2025-09-30,,20051,20051
32,179183,Costa Mar,Concepcion,20060,L2,V1,2025-09-30 16:24:32,2025-09-30 17:30:15,CW→CC,2025-09-30,,20060,20060
33,179183,Concepcion,Costa Mar,20075,L2,V1,2025-09-30 19:20:12,2025-09-30 19:41:43,CC→CW,2025-09-30,,20075,20075
34,179458,Coronel,Concepcion,20002,L2,V1,2025-09-30 05:44:14,2025-09-30 07:25:19,CW→CC,2025-09-30,combo_por_entrada,20002,20002
35,179458,Concepcion,Coronel,20073,L2,V1,2025-09-30 18:46:49,2025-09-30 19:33:39,CC→CW,2025-09-30,,20073,20073
36,179485,Concepcion,Costa Mar,20057,L2,V1,2025-09-30 16:50:15,2025-09-30 17:41:06,CC→CW,2025-09-30,,20057,20057
37,180224,Los Canelos,Concepcion,20050,L2,V1,2025-09-30 14:52:52,2025-09-30 15:36:46,CW→CC,2025-09-30,,20050,20050
38,180224,Concepcion,Los Canelos,20079,L2,V1,2025-09-30 19:54:21,2025-09-30 20:36:15,CC→CW,2025-09-30,,20079,20079
39,180387,Cdal. Raul Silva Henriquez,Cristo Redentor,20007,L2,V1,2025-09-30 07:51:04,2025-09-30 08:11:35,CC→CW,2025-09-30,,20007,20007
40,180395,Lzo. Arenas,Chiguayante,20332,L1,V1,2025-09-30 20:04:29,2025-09-30 20:40:05,TH→HQ,2025-09-30,,20332,20332
41,180629,Cdal. Raul Silva Henriquez,Laguna Quinenco,20063,L2,V1,2025-09-30 18:12:43,2025-09-30 18:39:35,CC→CW,2025-09-30,,20063,20063
42,181229,Chiguayante,Concepcion,20311,L1,V2,2025-09-30 09:33:45,2025-09-30 09:44:59,,2025-09-30,sin_combo_factible_en_hub|sin_s1_factible_retro,,20311
43,181229,UTF Santa Maria,Chiguayante,20322,L1,V1,2025-09-30 16:52:38,2025-09-30 17:41:19,TH→HQ,2025-09-30,,20322,20322
44,181241,Concepcion,Coronel,20055,L2,V1,2025-09-30 15:54:46,2025-09-30 17:39:03,CC→CW,2025-09-30,,20055,20055
45,181255,Concepcion,Huinca,20031,L2,V1,2025-09-30 10:07:05,2025-09-30 11:26:39,CC→CW,2025-09-30,,20031,20031
46,181255,Huinca,Concepcion,20038,L2,V1,2025-09-30 11:46:01,2025-09-30 13:16:40,CW→CC,2025-09-30,combo_por_entrada,20038,20038
47,181342,Laguna Quinenco,Concepcion,20062,L2,V1,2025-09-30 16:59:32,2025-09-30 17:53:57,CW→CC,2025-09-30,,20062,20062
48,182349,Los Canelos,Diagonal Bio Bio,20002,L2,V1,2025-09-30 06:01:13,2025-09-30 06:32:58,CW→CC,2025-09-30,,20002,20002
49,182349,Diagonal Bio Bio,Los Canelos,20059,L2,V1,2025-09-30 17:36:57,2025-09-30 18:05:22,CC→CW,2025-09-30,,20059,20059
50,182383,Lomas Coloradas,Concepcion,20196,L2,V1,2025-09-30 06:51:10,2025-09-30 07:31:35,CW→CC,2025-09-30,,20196,20196
51,182383,Concepcion,Lomas Coloradas,20063,L2,V1,2025-09-30 17:44:28,2025-09-30 18:18:09,CC→CW,2025-09-30,,20063,20063
52,183301,Hito Galvarino,El Parque,20012,L2,V1,2025-09-30 07:34:18,2025-09-30 07:50:34,CW→CC,2025-09-30,,20012,20198
53,183301,El Parque,Hito Galvarino,20061,L2,V1,2025-09-30 17:48:28,2025-09-30 18:27:55,CC→CW,2025-09-30,,20061,20061
