fecha,linea,direccion,servicio,estacion,t_arr_est,t_dep_est,capacidad_tren,A_llegadas_anden,D_bajadas,Demanda_anden,Capacidad_disponible,B_embarque,R_quedados,Q_out_cola,L_in_abordo,L_out_abordo
2026-01-08,L1,HQ→TH,20311.0,Hualqui,,2026-01-08 09:11:00,780.0,22,0,22.0,780.0,22.0,0.0,0.0,0.0,22.0
2026-01-08,L1,HQ→TH,20311.0,La Leonera,,2026-01-08 09:22:00,780.0,9,0,9.0,758.0,9.0,0.0,0.0,22.0,31.0
2026-01-08,L1,HQ→TH,20311.0,Concepcion,2026-01-08 09:45:00,2026-01-08 09:24:00,780.0,8,32,8.0,780.0,8.0,0.0,0.0,31.0,7.0
2026-01-08,L1,HQ→TH,20311.0,Manquimavida,,2026-01-08 09:25:00,780.0,4,0,4.0,773.0,4.0,0.0,0.0,7.0,11.0
2026-01-08,L1,HQ→TH,20311.0,Pedro Medina,2026-01-08 09:30:00,2026-01-08 09:26:30,780.0,2,3,2.0,772.0,2.0,0.0,0.0,11.0,10.0
2026-01-08,L1,HQ→TH,20311.0,Chiguayante,,2026-01-08 09:30:00,780.0,6,0,6.0,770.0,6.0,0.0,0.0,10.0,16.0
2026-01-08,L1,HQ→TH,20311.0,Lzo. Arenas,2026-01-08 09:52:00,2026-01-08 09:47:00,780.0,1,1,1.0,765.0,1.0,0.0,0.0,16.0,16.0
2026-01-08,L1,HQ→TH,20311.0,UTF Santa Maria,2026-01-08 09:56:00,,780.0,0,2,0.0,766.0,0.0,0.0,0.0,16.0,14.0
2026-01-08,L1,HQ→TH,20311.0,Los Condores,2026-01-08 10:01:00,,780.0,0,1,0.0,767.0,0.0,0.0,0.0,14.0,13.0
2026-01-08,L1,HQ→TH,20311.0,Higueras,2026-01-08 10:04:30,2026-01-08 10:03:00,780.0,1,2,1.0,769.0,1.0,0.0,0.0,13.0,12.0
2026-01-08,L1,HQ→TH,20311.0,El Arenal,2026-01-08 10:14:00,,780.0,0,1,0.0,769.0,0.0,0.0,0.0,12.0,11.0
2026-01-08,L1,HQ→TH,20311.0,Mercado,2026-01-08 10:17:00,,780.0,0,11,0.0,780.0,0.0,0.0,0.0,11.0,0.0
2026-01-08,L1,HQ→TH,20313.0,Hualqui,,2026-01-08 09:56:00,780.0,18,0,18.0,780.0,18.0,0.0,0.0,0.0,18.0
2026-01-08,L1,HQ→TH,20313.0,Concepcion,2026-01-08 10:32:00,2026-01-08 09:57:30,780.0,24,39,24.0,780.0,24.0,0.0,0.0,18.0,3.0
2026-01-08,L1,HQ→TH,20313.0,La Leonera,,2026-01-08 10:05:00,780.0,7,0,7.0,777.0,7.0,0.0,0.0,3.0,10.0
2026-01-08,L1,HQ→TH,20313.0,Manquimavida,,2026-01-08 10:06:00,780.0,8,0,8.0,770.0,8.0,0.0,0.0,10.0,18.0
2026-01-08,L1,HQ→TH,20313.0,Pedro Medina,2026-01-08 10:17:00,2026-01-08 10:10:30,780.0,8,1,8.0,763.0,8.0,0.0,0.0,18.0,25.0
2026-01-08,L1,HQ→TH,20313.0,Chiguayante,2026-01-08 10:20:00,2026-01-08 10:14:00,780.0,15,1,15.0,756.0,15.0,0.0,0.0,25.0,39.0
2026-01-08,L1,HQ→TH,20313.0,UTF Santa Maria,2026-01-08 10:44:30,2026-01-08 10:34:00,780.0,1,8,1.0,749.0,1.0,0.0,0.0,39.0,32.0
2026-01-08,L1,HQ→TH,20313.0,Lzo. Arenas,2026-01-08 10:41:00,2026-01-08 10:38:00,780.0,1,5,1.0,753.0,1.0,0.0,0.0,32.0,28.0
2026-01-08,L1,HQ→TH,20313.0,Los Condores,2026-01-08 10:48:30,2026-01-08 10:43:00,780.0,1,2,1.0,754.0,1.0,0.0,0.0,28.0,27.0
2026-01-08,L1,HQ→TH,20313.0,Higueras,2026-01-08 10:52:00,2026-01-08 10:43:00,780.0,1,9,1.0,762.0,1.0,0.0,0.0,27.0,19.0
2026-01-08,L1,HQ→TH,20313.0,El Arenal,2026-01-08 10:57:00,,780.0,0,5,0.0,766.0,0.0,0.0,0.0,19.0,14.0
2026-01-08,L1,HQ→TH,20313.0,Mercado,2026-01-08 11:00:00,,780.0,0,14,0.0,780.0,0.0,0.0,0.0,14.0,0.0
2026-01-08,L1,HQ→TH,20315.0,Hualqui,,2026-01-08 11:29:00,780.0,7,0,7.0,780.0,7.0,0.0,0.0,0.0,7.0
2026-01-08,L1,HQ→TH,20315.0,Manquimavida,,2026-01-08 11:41:00,780.0,5,0,5.0,773.0,5.0,0.0,0.0,7.0,12.0
2026-01-08,L1,HQ→TH,20315.0,Pedro Medina,,2026-01-08 11:43:00,780.0,3,0,3.0,768.0,3.0,0.0,0.0,12.0,15.0
2026-01-08,L1,HQ→TH,20315.0,Chiguayante,2026-01-08 11:59:00,2026-01-08 11:43:30,780.0,4,2,4.0,767.0,4.0,0.0,0.0,15.0,17.0
2026-01-08,L1,HQ→TH,20315.0,La Leonera,,2026-01-08 11:46:00,780.0,8,0,8.0,763.0,8.0,0.0,0.0,17.0,25.0
2026-01-08,L1,HQ→TH,20315.0,Concepcion,2026-01-08 12:10:00,2026-01-08 12:01:30,780.0,14,13,14.0,768.0,14.0,0.0,0.0,25.0,26.0
2026-01-08,L1,HQ→TH,20315.0,UTF Santa Maria,2026-01-08 12:22:00,2026-01-08 12:12:30,780.0,4,4,4.0,758.0,4.0,0.0,0.0,26.0,26.0
2026-01-08,L1,HQ→TH,20315.0,Lzo. Arenas,2026-01-08 12:18:00,2026-01-08 12:16:00,780.0,3,2,3.0,756.0,3.0,0.0,0.0,26.0,27.0
2026-01-08,L1,HQ→TH,20315.0,Los Condores,2026-01-08 12:29:00,2026-01-08 12:25:00,780.0,1,3,1.0,756.0,1.0,0.0,0.0,27.0,25.0
2026-01-08,L1,HQ→TH,20315.0,Higueras,2026-01-08 12:30:00,2026-01-08 12:29:00,780.0,1,13,1.0,768.0,1.0,0.0,0.0,25.0,13.0
2026-01-08,L1,HQ→TH,20315.0,El Arenal,2026-01-08 12:34:00,,780.0,0,3,0.0,770.0,0.0,0.0,0.0,13.0,10.0
2026-01-08,L1,HQ→TH,20315.0,Mercado,2026-01-08 12:37:00,,780.0,0,10,0.0,780.0,0.0,0.0,0.0,10.0,0.0
2026-01-08,L1,HQ→TH,20321.0,Concepcion,2026-01-08 16:31:00,2026-01-08 15:52:00,780.0,43,16,43.0,780.0,43.0,0.0,0.0,0.0,27.0
2026-01-08,L1,HQ→TH,20321.0,Hualqui,,2026-01-08 15:54:00,780.0,8,0,8.0,753.0,8.0,0.0,0.0,27.0,35.0
2026-01-08,L1,HQ→TH,20321.0,La Leonera,,2026-01-08 16:05:00,780.0,5,0,5.0,745.0,5.0,0.0,0.0,35.0,40.0
2026-01-08,L1,HQ→TH,20321.0,Manquimavida,,2026-01-08 16:12:00,780.0,5,0,5.0,740.0,5.0,0.0,0.0,40.0,45.0
2026-01-08,L1,HQ→TH,20321.0,Pedro Medina,,2026-01-08 16:12:00,780.0,3,0,3.0,735.0,3.0,0.0,0.0,45.0,48.0
2026-01-08,L1,HQ→TH,20321.0,Chiguayante,,2026-01-08 16:14:30,780.0,10,0,10.0,732.0,10.0,0.0,0.0,48.0,58.0
2026-01-08,L1,HQ→TH,20321.0,Lzo. Arenas,2026-01-08 16:38:00,,780.0,0,3,0.0,725.0,0.0,0.0,0.0,58.0,55.0
2026-01-08,L1,HQ→TH,20321.0,UTF Santa Maria,2026-01-08 16:41:30,,780.0,0,4,0.0,729.0,0.0,0.0,0.0,55.0,51.0
2026-01-08,L1,HQ→TH,20321.0,Los Condores,2026-01-08 16:46:00,2026-01-08 16:42:00,780.0,2,13,2.0,742.0,2.0,0.0,0.0,51.0,40.0
2026-01-08,L1,HQ→TH,20321.0,Higueras,2026-01-08 16:49:00,,780.0,0,5,0.0,745.0,0.0,0.0,0.0,40.0,35.0
2026-01-08,L1,HQ→TH,20321.0,El Arenal,2026-01-08 16:53:00,,780.0,0,8,0.0,753.0,0.0,0.0,0.0,35.0,27.0
2026-01-08,L1,HQ→TH,20321.0,Mercado,2026-01-08 16:58:00,,780.0,0,27,0.0,780.0,0.0,0.0,0.0,27.0,0.0
2026-01-08,L1,HQ→TH,20323.0,Hualqui,,2026-01-08 16:18:00,780.0,1,0,1.0,780.0,1.0,0.0,0.0,0.0,1.0
2026-01-08,L1,HQ→TH,20323.0,Manquimavida,,2026-01-08 16:38:00,780.0,4,0,4.0,779.0,4.0,0.0,0.0,1.0,5.0
2026-01-08,L1,HQ→TH,20323.0,La Leonera,,2026-01-08 16:40:00,780.0,6,0,6.0,775.0,6.0,0.0,0.0,5.0,11.0
2026-01-08,L1,HQ→TH,20323.0,Pedro Medina,,2026-01-08 16:43:30,780.0,8,0,8.0,769.0,8.0,0.0,0.0,11.0,19.0
2026-01-08,L1,HQ→TH,20323.0,Chiguayante,2026-01-08 16:55:00,2026-01-08 16:47:00,780.0,6,1,6.0,762.0,6.0,0.0,0.0,19.0,24.0
2026-01-08,L1,HQ→TH,20323.0,Concepcion,2026-01-08 17:05:00,2026-01-08 16:55:00,780.0,20,14,20.0,770.0,20.0,0.0,0.0,24.0,30.0
2026-01-08,L1,HQ→TH,20323.0,Lzo. Arenas,2026-01-08 17:09:30,2026-01-08 17:07:00,780.0,1,2,1.0,752.0,1.0,0.0,0.0,30.0,29.0
2026-01-08,L1,HQ→TH,20323.0,Higueras,2026-01-08 17:20:00,2026-01-08 17:14:00,780.0,1,5,1.0,756.0,1.0,0.0,0.0,29.0,25.0
2026-01-08,L1,HQ→TH,20323.0,Los Condores,2026-01-08 17:17:00,,780.0,0,3,0.0,758.0,0.0,0.0,0.0,25.0,22.0
2026-01-08,L1,HQ→TH,20323.0,El Arenal,2026-01-08 17:29:30,,780.0,0,6,0.0,764.0,0.0,0.0,0.0,22.0,16.0
2026-01-08,L1,HQ→TH,20323.0,Mercado,2026-01-08 17:33:00,,780.0,0,15,0.0,779.0,0.0,0.0,0.0,16.0,1.0
2026-01-08,L1,HQ→TH,20323.0,UTF Santa Maria,2026-01-08 17:43:00,,780.0,0,1,0.0,780.0,0.0,0.0,0.0,1.0,0.0
2026-01-08,L1,HQ→TH,20325.0,Hualqui,,2026-01-08 16:55:00,780.0,4,0,4.0,780.0,4.0,0.0,0.0,0.0,4.0
2026-01-08,L1,HQ→TH,20325.0,La Leonera,,2026-01-08 17:08:00,780.0,8,0,8.0,776.0,8.0,0.0,0.0,4.0,12.0
2026-01-08,L1,HQ→TH,20325.0,Manquimavida,2026-01-08 17:17:00,2026-01-08 17:10:00,780.0,10,1,10.0,769.0,10.0,0.0,0.0,12.0,21.0
2026-01-08,L1,HQ→TH,20325.0,Pedro Medina,,2026-01-08 17:10:00,780.0,7,0,7.0,759.0,7.0,0.0,0.0,21.0,28.0
2026-01-08,L1,HQ→TH,20325.0,Chiguayante,2026-01-08 17:21:00,2026-01-08 17:15:00,780.0,3,3,3.0,755.0,3.0,0.0,0.0,28.0,28.0
2026-01-08,L1,HQ→TH,20325.0,Concepcion,2026-01-08 17:33:00,2026-01-08 17:15:30,780.0,70,14,70.0,766.0,70.0,0.0,0.0,28.0,84.0
2026-01-08,L1,HQ→TH,20325.0,Lzo. Arenas,2026-01-08 17:39:00,2026-01-08 17:28:00,780.0,5,4,5.0,700.0,5.0,0.0,0.0,84.0,85.0
2026-01-08,L1,HQ→TH,20325.0,Los Condores,2026-01-08 17:47:00,2026-01-08 17:36:00,780.0,1,28,1.0,723.0,1.0,0.0,0.0,85.0,58.0
2026-01-08,L1,HQ→TH,20325.0,UTF Santa Maria,2026-01-08 17:43:00,2026-01-08 17:39:00,780.0,2,8,2.0,730.0,2.0,0.0,0.0,58.0,52.0
2026-01-08,L1,HQ→TH,20325.0,Higueras,2026-01-08 17:50:00,,780.0,0,15,0.0,743.0,0.0,0.0,0.0,52.0,37.0
2026-01-08,L1,HQ→TH,20325.0,El Arenal,2026-01-08 17:56:00,,780.0,0,18,0.0,761.0,0.0,0.0,0.0,37.0,19.0
2026-01-08,L1,HQ→TH,20325.0,Mercado,2026-01-08 17:59:00,,780.0,0,19,0.0,780.0,0.0,0.0,0.0,19.0,0.0
2026-01-08,L1,HQ→TH,20327.0,Hualqui,,2026-01-08 17:53:30,780.0,22,0,22.0,780.0,22.0,0.0,0.0,0.0,22.0
2026-01-08,L1,HQ→TH,20327.0,La Leonera,2026-01-08 18:10:00,2026-01-08 18:06:00,780.0,15,1,15.0,759.0,15.0,0.0,0.0,22.0,36.0
2026-01-08,L1,HQ→TH,20327.0,Manquimavida,,2026-01-08 18:10:00,780.0,15,0,15.0,744.0,15.0,0.0,0.0,36.0,51.0
2026-01-08,L1,HQ→TH,20327.0,Chiguayante,2026-01-08 18:18:00,2026-01-08 18:11:00,780.0,19,1,19.0,730.0,19.0,0.0,0.0,51.0,69.0
2026-01-08,L1,HQ→TH,20327.0,Pedro Medina,,2026-01-08 18:13:00,780.0,7,0,7.0,711.0,7.0,0.0,0.0,69.0,76.0
2026-01-08,L1,HQ→TH,20327.0,Concepcion,2026-01-08 18:30:00,2026-01-08 18:15:00,780.0,179,44,179.0,748.0,179.0,0.0,0.0,76.0,211.0
2026-01-08,L1,HQ→TH,20327.0,Lzo. Arenas,2026-01-08 18:38:00,2026-01-08 18:26:00,780.0,3,21,3.0,590.0,3.0,0.0,0.0,211.0,193.0
2026-01-08,L1,HQ→TH,20327.0,UTF Santa Maria,2026-01-08 18:42:00,2026-01-08 18:29:00,780.0,1,37,1.0,624.0,1.0,0.0,0.0,193.0,157.0
2026-01-08,L1,HQ→TH,20327.0,Los Condores,2026-01-08 18:46:00,,780.0,0,52,0.0,675.0,0.0,0.0,0.0,157.0,105.0
