fecha,linea,direccion,servicio,estacion,t_arr_est,t_dep_est,capacidad_tren,A_llegadas_anden,D_bajadas,Demanda_anden,Capacidad_disponible,B_embarque,R_quedados,Q_out_cola,L_in_abordo,L_out_abordo
2026-01-16,L1,HQ→TH,20301.0,Hualqui,,2026-01-16 06:11:00,780.0,23,0,23.0,780.0,23.0,0.0,0.0,0.0,23.0
2026-01-16,L1,HQ→TH,20301.0,Concepcion,2026-01-16 06:49:00,2026-01-16 06:17:00,780.0,109,27,109.0,780.0,109.0,0.0,0.0,23.0,105.0
2026-01-16,L1,HQ→TH,20301.0,La Leonera,,2026-01-16 06:28:30,780.0,14,0,14.0,675.0,14.0,0.0,0.0,105.0,119.0
2026-01-16,L1,HQ→TH,20301.0,Pedro Medina,2026-01-16 06:36:00,2026-01-16 06:29:30,780.0,10,1,10.0,662.0,10.0,0.0,0.0,119.0,128.0
2026-01-16,L1,HQ→TH,20301.0,Manquimavida,,2026-01-16 06:30:00,780.0,12,0,12.0,652.0,12.0,0.0,0.0,128.0,140.0
2026-01-16,L1,HQ→TH,20301.0,Chiguayante,2026-01-16 06:39:00,2026-01-16 06:37:00,780.0,7,1,7.0,641.0,7.0,0.0,0.0,140.0,146.0
2026-01-16,L1,HQ→TH,20301.0,Lzo. Arenas,2026-01-16 07:05:00,2026-01-16 07:03:00,780.0,3,15,3.0,649.0,3.0,0.0,0.0,146.0,134.0
2026-01-16,L1,HQ→TH,20301.0,UTF Santa Maria,2026-01-16 07:10:00,2026-01-16 07:07:00,780.0,11,12,11.0,658.0,11.0,0.0,0.0,134.0,133.0
2026-01-16,L1,HQ→TH,20301.0,Higueras,2026-01-16 07:18:00,2026-01-16 07:14:00,780.0,1,70,1.0,717.0,1.0,0.0,0.0,133.0,64.0
2026-01-16,L1,HQ→TH,20301.0,Los Condores,2026-01-16 07:14:00,,780.0,0,7,0.0,723.0,0.0,0.0,0.0,64.0,57.0
2026-01-16,L1,HQ→TH,20301.0,El Arenal,2026-01-16 07:21:00,,780.0,0,18,0.0,741.0,0.0,0.0,0.0,57.0,39.0
2026-01-16,L1,HQ→TH,20301.0,Mercado,2026-01-16 07:24:00,,780.0,0,39,0.0,780.0,0.0,0.0,0.0,39.0,0.0
2026-01-16,L1,HQ→TH,20305.0,Hualqui,,2026-01-16 07:25:00,780.0,47,0,47.0,780.0,47.0,0.0,0.0,0.0,47.0
2026-01-16,L1,HQ→TH,20305.0,Concepcion,2026-01-16 08:02:00,2026-01-16 07:31:00,780.0,43,71,43.0,780.0,43.0,0.0,0.0,47.0,19.0
2026-01-16,L1,HQ→TH,20305.0,La Leonera,2026-01-16 07:43:00,2026-01-16 07:37:30,780.0,20,3,20.0,764.0,20.0,0.0,0.0,19.0,36.0
2026-01-16,L1,HQ→TH,20305.0,Manquimavida,,2026-01-16 07:40:30,780.0,30,0,30.0,744.0,30.0,0.0,0.0,36.0,66.0
2026-01-16,L1,HQ→TH,20305.0,Pedro Medina,,2026-01-16 07:43:00,780.0,14,0,14.0,714.0,14.0,0.0,0.0,66.0,80.0
2026-01-16,L1,HQ→TH,20305.0,Chiguayante,,2026-01-16 07:46:00,780.0,28,0,28.0,700.0,28.0,0.0,0.0,80.0,108.0
2026-01-16,L1,HQ→TH,20305.0,Lzo. Arenas,2026-01-16 08:08:00,2026-01-16 08:02:30,780.0,4,23,4.0,695.0,4.0,0.0,0.0,108.0,89.0
2026-01-16,L1,HQ→TH,20305.0,UTF Santa Maria,2026-01-16 08:12:00,2026-01-16 08:09:30,780.0,2,16,2.0,707.0,2.0,0.0,0.0,89.0,75.0
2026-01-16,L1,HQ→TH,20305.0,Higueras,2026-01-16 08:20:00,2026-01-16 08:15:00,780.0,2,13,2.0,718.0,2.0,0.0,0.0,75.0,64.0
2026-01-16,L1,HQ→TH,20305.0,Los Condores,2026-01-16 08:16:00,,780.0,0,21,0.0,737.0,0.0,0.0,0.0,64.0,43.0
2026-01-16,L1,HQ→TH,20305.0,El Arenal,2026-01-16 08:23:00,,780.0,0,11,0.0,748.0,0.0,0.0,0.0,43.0,32.0
2026-01-16,L1,HQ→TH,20305.0,Mercado,2026-01-16 08:27:00,,780.0,0,32,0.0,780.0,0.0,0.0,0.0,32.0,0.0
2026-01-16,L1,HQ→TH,20309.0,Hualqui,,2026-01-16 08:25:00,780.0,22,0,22.0,780.0,22.0,0.0,0.0,0.0,22.0
2026-01-16,L1,HQ→TH,20309.0,La Leonera,,2026-01-16 08:35:30,780.0,10,0,10.0,758.0,10.0,0.0,0.0,22.0,32.0
2026-01-16,L1,HQ→TH,20309.0,Concepcion,2026-01-16 08:59:00,2026-01-16 08:36:00,780.0,17,44,17.0,780.0,17.0,0.0,0.0,32.0,5.0
2026-01-16,L1,HQ→TH,20309.0,Manquimavida,,2026-01-16 08:40:00,780.0,12,0,12.0,775.0,12.0,0.0,0.0,5.0,17.0
2026-01-16,L1,HQ→TH,20309.0,Pedro Medina,,2026-01-16 08:43:00,780.0,8,0,8.0,763.0,8.0,0.0,0.0,17.0,25.0
2026-01-16,L1,HQ→TH,20309.0,Chiguayante,2026-01-16 08:50:00,2026-01-16 08:45:00,780.0,15,1,15.0,756.0,15.0,0.0,0.0,25.0,39.0
2026-01-16,L1,HQ→TH,20309.0,Lzo. Arenas,2026-01-16 09:07:30,,780.0,0,4,0.0,745.0,0.0,0.0,0.0,39.0,35.0
2026-01-16,L1,HQ→TH,20309.0,UTF Santa Maria,2026-01-16 09:12:00,,780.0,0,9,0.0,754.0,0.0,0.0,0.0,35.0,26.0
2026-01-16,L1,HQ→TH,20309.0,Higueras,2026-01-16 09:20:30,,780.0,0,4,0.0,758.0,0.0,0.0,0.0,26.0,22.0
2026-01-16,L1,HQ→TH,20309.0,El Arenal,2026-01-16 09:23:00,,780.0,0,3,0.0,761.0,0.0,0.0,0.0,22.0,19.0
2026-01-16,L1,HQ→TH,20309.0,Mercado,2026-01-16 09:26:00,,780.0,0,15,0.0,776.0,0.0,0.0,0.0,19.0,4.0
2026-01-16,L1,HQ→TH,20309.0,Los Condores,2026-01-16 09:47:00,,780.0,0,4,0.0,780.0,0.0,0.0,0.0,4.0,0.0
2026-01-16,L1,HQ→TH,20311.0,Hualqui,,2026-01-16 09:10:00,780.0,28,0,28.0,780.0,28.0,0.0,0.0,0.0,28.0
2026-01-16,L1,HQ→TH,20311.0,La Leonera,,2026-01-16 09:21:30,780.0,10,0,10.0,752.0,10.0,0.0,0.0,28.0,38.0
