id_kpi,nombre,categoria,servicio,valor,meta,unidad,periodo,variacion_pct,estado,orden,observacion
49,Pasajeros,Afluencia,Tren Araucanía,42486,64884.3856789122,pax,2026-02,-34.5204557992629,critico,49,
50,Pasajeros,Afluencia,Laja Talcahuano,47831,64330.5466607723,pax,2026-01,-25.6480746973559,critico,50,
51,Pasajeros,Afluencia,Laja Talcahuano,55341,65364.7725147057,pax,2026-02,-15.3351295033584,alerta,51,
52,Pasajeros,Afluencia,Llanquihue Puerto Montt,77145,51655.748375,pax,2026-01,49.3444629626857,ok,52,
53,Pasajeros,Afluencia,Llanquihue Puerto Montt,76278,49195.9508333333,pax,2026-02,55.0493459480346,ok,53,
54,Tasa de Ocupación,Ocupación,Biotren,0.497083147102996,0.465704341790387,%,2025-01,6.73792414989618,ok,54,
55,Tasa de Ocupación,Ocupación,Biotren,0.493255889646101,0.451807641092555,%,2025-02,9.17387064400166,ok,55,
56,Tasa de Ocupación,Ocupación,Biotren,0.671589877179626,0.582409489632493,%,2025-03,15.3123170440452,ok,56,
57,Tasa de Ocupación,Ocupación,Biotren,0.658263645840482,0.655206043938484,%,2025-04,0.466662652196943,ok,57,
58,Tasa de Ocupación,Ocupación,Biotren,0.617338479632067,0.583535539166323,%,2025-05,5.79278179252576,ok,58,
59,Tasa de Ocupación,Ocupación,Biotren,0.599662249172739,0.383668703654315,%,2025-06,56.2968893373783,ok,59,
60,Tasa de Ocupación,Ocupación,Biotren,0.496278421375717,0.509283598245583,%,2025-07,-2.55362177668141,alerta,60,
61,Tasa de Ocupación,Ocupación,Biotren,0.60318433050453,0.493734205678599,%,2025-08,22.1678230041809,ok,61,
62,Tasa de Ocupación,Ocupación,Biotren,0.580232779765345,0.531310632673059,%,2025-09,9.20782383859997,ok,62,
63,Tasa de Ocupación,Ocupación,Biotren,0.582022057764852,0.522562165552878,%,2025-10,11.3785298920491,ok,63,
64,Tasa de Ocupación,Ocupación,Biotren,0.529275172446896,0.532546174420929,%,2025-11,-0.614219410662195,alerta,64,
65,Tasa de Ocupación,Ocupación,Biotren,0.467243168811941,0.508933799543822,%,2025-12,-8.19175907932425,alerta,65,
66,Tasa de Ocupación,Ocupación,Tren Araucanía,0.244100253449732,0.331616615038017,%,2025-01,-26.3908253144228,critico,66,
67,Tasa de Ocupación,Ocupación,Tren Araucanía,0.259175781013959,0.35888524986404,%,2025-02,-27.7831058500887,critico,67,
68,Tasa de Ocupación,Ocupación,Tren Araucanía,0.363310614557271,0.470806775371696,%,2025-03,-22.8323308919159,critico,68,
69,Tasa de Ocupación,Ocupación,Tren Araucanía,0.3599196326062,0.456191905855339,%,2025-04,-21.1034593147007,critico,69,
70,Tasa de Ocupación,Ocupación,Tren Araucanía,0.34423416896102,0.417880191276627,%,2025-05,-17.6237170014251,alerta,70,
71,Tasa de Ocupación,Ocupación,Tren Araucanía,0.284486844129866,0.337931866440991,%,2025-06,-15.8153248091083,alerta,71,
72,Tasa de Ocupación,Ocupación,Tren Araucanía,0.30891935884349,0.395216079990856,%,2025-07,-21.8353264243101,critico,72,
73,Tasa de Ocupación,Ocupación,Tren Araucanía,0.317593475919372,0.426017188050909,%,2025-08,-25.4505487507655,critico,73,
74,Tasa de Ocupación,Ocupación,Tren Araucanía,0.307545223192792,0.417699185638627,%,2025-09,-26.3716009590536,critico,74,
75,Tasa de Ocupación,Ocupación,Tren Araucanía,0.325723957531928,0.439539638010243,%,2025-10,-25.8942927180695,critico,75,
76,Tasa de Ocupación,Ocupación,Tren Araucanía,0.338962903602791,0.441913388951694,%,2025-11,-23.2965300266465,critico,76,
77,Tasa de Ocupación,Ocupación,Tren Araucanía,0.285168926608786,0.448849615972426,%,2025-12,-36.466710349975,critico,77,
78,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.469905843753016,0.514605108975861,%,2025-01,-8.68612931414608,alerta,78,
79,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.527811228145054,0.571826898160145,%,2025-02,-7.69737662861109,alerta,79,
80,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.299328971884062,0.398962638163148,%,2025-03,-24.9731821350005,critico,80,
81,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.277991637831603,0.343422361591696,%,2025-04,-19.0525519237692,alerta,81,
82,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.238526492659518,0.327243795121535,%,2025-05,-27.1104613088439,critico,82,
83,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.252395528347085,0.282673132375122,%,2025-06,-10.7111715123518,alerta,83,
84,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.230326827422145,0.319447711667388,%,2025-07,-27.8984262495002,critico,84,
85,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.259208617033151,0.328552855368903,%,2025-08,-21.1059612487286,critico,85,
86,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.264958189158016,0.318197383217993,%,2025-09,-16.7314996501726,alerta,86,
87,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.291955017301038,0.372093823250363,%,2025-10,-21.5372577940923,critico,87,
88,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.316810841983852,0.37330928849481,%,2025-11,-15.1344872073128,alerta,88,
89,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.310469918517692,0.414721871860699,%,2025-12,-25.1377996716856,critico,89,
90,Tasa de Ocupación,Ocupación,Llanquihue Puerto Montt,0.62890625,0.740369392163826,%,2025-04,-15.0550716093301,alerta,90,
91,Tasa de Ocupación,Ocupación,Llanquihue Puerto Montt,0.511707988980716,0.77562507750496,%,2025-05,-34.0263738471705,critico,91,
92,Tasa de Ocupación,Ocupación,Llanquihue Puerto Montt,0.506098090277778,0.857269822505482,%,2025-06,-40.9639675873997,critico,92,
93,Tasa de Ocupación,Ocupación,Llanquihue Puerto Montt,0.634223090277778,0.740369392163826,%,2025-07,-14.336938156752,alerta,93,
94,Tasa de Ocupación,Ocupación,Llanquihue Puerto Montt,0.43671875,0.77562507750496,%,2025-08,-43.6946067544848,critico,94,
95,Tasa de Ocupación,Ocupación,Llanquihue Puerto Montt,0.443405223004695,0.904895923755787,%,2025-09,-50.9993125878683,critico,95,
96,Tasa de Ocupación,Ocupación,Llanquihue Puerto Montt,0.474285714285714,0.740369392163826,%,2025-10,-35.9393136310575,critico,96,
97,Tasa de Ocupación,Ocupación,Llanquihue Puerto Montt,0.512782597266036,0.814406331380208,%,2025-11,-37.0360251992391,critico,97,
98,Tasa de Ocupación,Ocupación,Llanquihue Puerto Montt,0.476050444756554,0.77562507750496,%,2025-12,-38.6236393635029,critico,98,
99,Tasa de Ocupación,Ocupación,Biotren,0.398412876451124,0.490039952443551,%,2026-01,-18.6978787210175,alerta,99,
100,Tasa de Ocupación,Ocupación,Biotren,0.400518943866051,0.432941708548893,%,2026-02,-7.48894459522377,alerta,100,
101,Tasa de Ocupación,Ocupación,Tren Araucanía,0.259214938523243,0.41401939231178,%,2026-01,-37.3906287152755,critico,101,
102,Tasa de Ocupación,Ocupación,Tren Araucanía,0.310710337202874,0.448344290208072,%,2026-02,-30.6982727361874,critico,102,
103,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.315849599830952,0.424803525322726,%,2026-01,-25.6480746973559,critico,103,
104,Tasa de Ocupación,Ocupación,Laja Talcahuano,0.398940311418685,0.471199340503934,%,2026-02,-15.3351295033584,alerta,104,
105,Tasa de Ocupación,Ocupación,Llanquihue Puerto Montt,0.813353997975709,0.544616105505651,%,2026-01,49.3444629626857,ok,105,
