id_servicio_pdf,pagina_pdf,sector,tipo_dia,sentido,servicio,estacion_origen,hora_salida_origen,hora_llegada_orig,estacion_terminal,hora_llegada_term,hora_salida_term,n_estaciones_hora
P02|Coronel a Concepción|20020,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20020,CORONEL,7:31,7:33:40,CONCEPCIÓN,8:16,8:09:30,14
P02|Coronel a Concepción|20022,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20022,CORONEL,7:40,7:42:40,CONCEPCIÓN,8:25,8:18:30,14
P02|Coronel a Concepción|20024,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20024,CORONEL,7:51,7:53:40,CONCEPCIÓN,8:36,8:29:30,14
P02|Coronel a Concepción|20026,2,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20026,CORONEL,8:03,8:05:40,CONCEPCIÓN,8:48,8:41:30,14
P03|Concepción a Coronel|20037,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20037,CONCEPCIÓN,10:05,10:10:40,CORONEL,10:47,10:44:30,14
P03|Concepción a Coronel|20041,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20041,CONCEPCIÓN,10:30,10:35:40,CORONEL,11:12,11:09:30,14
P03|Concepción a Coronel|20049,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20049,CONCEPCIÓN,11:30,11:35:40,CORONEL,12:12,12:09:30,14
P03|Concepción a Coronel|20051,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20051,CONCEPCIÓN,11:45,11:50:40,CORONEL,12:27,12:24:30,14
P03|Concepción a Coronel|20053,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20053,CONCEPCIÓN,12:10,12:15:40,CORONEL,12:52,12:49:30,14
P03|Concepción a Coronel|20055,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20055,CONCEPCIÓN,12:23,12:28:40,CORONEL,13:05,13:02:30,14
P03|Concepción a Coronel|20057,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20057,CONCEPCIÓN,13:00,13:05:40,CORONEL,13:42,13:39:30,14
P03|Concepción a Coronel|20031,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20031,CONCEPCIÓN,9:15,9:20:40,CORONEL,9:57,9:54:30,14
P03|Concepción a Coronel|20033,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20033,CONCEPCIÓN,9:30,9:35:40,CORONEL,10:12,10:09:30,14
P03|Concepción a Coronel|20035,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Concepción a Coronel,20035,CONCEPCIÓN,9:50,9:55:40,CORONEL,10:32,10:29:30,14
P03|Coronel a Concepción|20044,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20044,CORONEL,10:05,10:07:25,CONCEPCIÓN,10:47,10:41:15,14
P03|Coronel a Concepción|20048,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20048,CORONEL,10:40,10:42:25,CONCEPCIÓN,11:22,11:16:15,14
P03|Coronel a Concepción|20050,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20050,CORONEL,11:00,11:02:25,CONCEPCIÓN,11:42,11:36:15,14
P03|Coronel a Concepción|20052,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20052,CORONEL,11:20,11:22:25,CONCEPCIÓN,12:02,11:56:15,14
P03|Coronel a Concepción|20054,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20054,CORONEL,11:35,11:37:25,CONCEPCIÓN,12:17,12:11:15,14
P03|Coronel a Concepción|20056,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20056,CORONEL,12:15,12:17:25,CONCEPCIÓN,12:57,12:51:15,14
P03|Coronel a Concepción|20028,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20028,CORONEL,8:18,8:20:25,CONCEPCIÓN,9:00,8:54:15,14
P03|Coronel a Concepción|20030,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20030,CORONEL,8:30,8:32:25,CONCEPCIÓN,9:12,9:06:15,14
P03|Coronel a Concepción|20032,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20032,CORONEL,8:45,8:47:25,CONCEPCIÓN,9:27,9:21:15,14
P03|Coronel a Concepción|20034,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20034,CORONEL,9:02,9:04:25,CONCEPCIÓN,9:44,9:38:15,14
P03|Coronel a Concepción|20036,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20036,CORONEL,9:15,9:17:25,CONCEPCIÓN,9:57,9:51:15,14
P03|Coronel a Concepción|20280,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20280,CORONEL,9:24,9:28,Desvío Lagunillas (HDLC),9:28,9:24,2
P03|Coronel a Concepción|20040,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20040,CORONEL,9:40,9:42:25,CONCEPCIÓN,10:22,10:16:15,14
P03|Coronel a Concepción|20042,3,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Mañana y Horario Valle,Coronel a Concepción,20042,CORONEL,9:55,9:57:25,CONCEPCIÓN,10:37,10:31:15,14
P04|Concepción a Coronel|20059,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20059,CONCEPCIÓN,13:15,13:20:40,CORONEL,13:57,13:54:30,14
P04|Concepción a Coronel|20063,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20063,CONCEPCIÓN,14:35,14:40:40,CORONEL,15:17,15:14:30,14
P04|Concepción a Coronel|20065,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20065,CONCEPCIÓN,15:15,15:20:40,CORONEL,15:57,15:54:30,14
P04|Concepción a Coronel|20067,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20067,CONCEPCIÓN,15:30,15:35:40,CORONEL,16:12,16:09:30,14
P04|Concepción a Coronel|20069,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20069,CONCEPCIÓN,16:20,16:25:40,CORONEL,17:02,16:59:30,14
P04|Concepción a Coronel|20071,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20071,CONCEPCIÓN,16:40,16:45:40,CORONEL,17:22,17:19:30,14
P04|Concepción a Coronel|20291,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20291,Desvío Lagunillas (HDLC),16:40,16:44,CORONEL,16:44,16:40,2
P04|Concepción a Coronel|20073,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20073,CONCEPCIÓN,16:55,17:00:40,CORONEL,17:37,17:34:30,14
P04|Concepción a Coronel|20293,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20293,Desvío Lagunillas (HDLC),17:07,17:11,CORONEL,17:11,17:07,2
P04|Concepción a Coronel|20075,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20075,CONCEPCIÓN,17:12,17:18:30,CORONEL,17:57,17:54:20,14
P04|Concepción a Coronel|20077,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20077,CONCEPCIÓN,17:24,17:30:30,CORONEL,18:09,18:06:20,14
P04|Concepción a Coronel|20079,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20079,CONCEPCIÓN,17:36,17:42:30,CORONEL,18:21,18:18:20,14
P04|Concepción a Coronel|20083,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20083,CONCEPCIÓN,17:48,17:54:30,CORONEL,18:33,18:30:20,14
P04|Concepción a Coronel|20085,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20085,CONCEPCIÓN,18:00,18:06:30,CORONEL,18:45,18:42:20,14
P04|Coronel a Concepción|20058,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20058,CORONEL,12:30,12:32:25,CONCEPCIÓN,13:12,13:06:15,14
P04|Coronel a Concepción|20282,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20282,CORONEL,12:55,12:59,Desvío Lagunillas (HDLC),12:59,12:55,2
P04|Coronel a Concepción|20062,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20062,CORONEL,13:50,13:52:25,CONCEPCIÓN,14:32,14:26:15,14
P04|Coronel a Concepción|20064,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20064,CORONEL,14:30,14:32:25,CONCEPCIÓN,15:12,15:06:15,14
P04|Coronel a Concepción|20066,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20066,CORONEL,14:45,14:47:25,CONCEPCIÓN,15:27,15:21:15,14
P04|Coronel a Concepción|20068,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20068,CORONEL,15:35,15:37:25,CONCEPCIÓN,16:17,16:11:15,14
P04|Coronel a Concepción|20072,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20072,CORONEL,16:05,16:07:25,CONCEPCIÓN,16:47,16:41:15,14
P04|Coronel a Concepción|20078,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20078,CORONEL,16:50,16:52:25,CONCEPCIÓN,17:32,17:26:15,14
P04|Coronel a Concepción|20082,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20082,CORONEL,17:02,17:04:25,CONCEPCIÓN,17:44,17:38:15,14
P04|Coronel a Concepción|20084,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20084,CORONEL,17:14,17:16:25,CONCEPCIÓN,17:56,17:50:15,14
P04|Coronel a Concepción|20086,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20086,CORONEL,17:26,17:28:25,CONCEPCIÓN,18:08,18:02:15,14
P04|Coronel a Concepción|20088,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20088,CORONEL,17:38,17:40:25,CONCEPCIÓN,18:20,18:14:15,14
P04|Coronel a Concepción|20090,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20090,CORONEL,17:50,17:52:25,CONCEPCIÓN,18:32,18:26:15,14
P04|Coronel a Concepción|20092,4,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Coronel a Concepción,20092,CORONEL,18:02,18:04:25,CONCEPCIÓN,18:44,18:38:15,14
P05|Concepción a Coronel|20087,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20087,CONCEPCIÓN,18:12,18:18:30,CORONEL,18:57,18:54:20,14
P05|Concepción a Coronel|20089,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20089,CONCEPCIÓN,18:24,18:30:30,CORONEL,19:09,19:06:20,14
P05|Concepción a Coronel|20091,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20091,CONCEPCIÓN,18:36,18:42:30,CORONEL,19:21,19:18:20,14
P05|Concepción a Coronel|20093,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20093,CONCEPCIÓN,18:48,18:54:30,CORONEL,19:33,19:30:20,14
P05|Concepción a Coronel|20095,5,CONCEPCIÓN-CORONEL,Lunes a Viernes Punta Tarde,Concepción a Coronel,20095,CONCEPCIÓN,19:00,19:06:30,CORONEL,19:45,19:42:20,14
