tarjeta_id,origen,linea_entrada,fecha_entrada,terminal_entrada,destino,linea_salida,fecha_salida,terminal_salida,tipo_salida,direccion,tipo_tarjeta,contrato1
383864,La Leonera,L1,2026-05-01 09:37:19,20220301,Chiguayante,L1,2026-05-01 09:49:10,20221204,Salida,HQ→TH,EMV,
435391,Concepcion,L1,2026-05-01 16:21:40,20221502,Chiguayante,L1,2026-05-01 16:40:28,20221201,Salida,TH→HQ,EMV,
466575,UTF Santa Maria,L1,2026-05-01 20:16:40,20222401,Concepcion,L1,2026-05-01 20:26:22,20221511,Salida,TH→HQ,EMV,
493629,La Leonera,L1,2026-05-01 12:26:00,20220303,Los Condores,L1,2026-05-01 13:02:24,20222702,Salida,HQ→TH,EMV,
502900,UTF Santa Maria,L1,2026-05-01 12:57:33,20222401,Higueras,L1,2026-05-01 13:05:57,20223002,Salida,HQ→TH,EMV,
584141,UTF Santa Maria,L1,2026-05-01 16:13:38,20222401,Hualqui,L1,2026-05-01 17:00:49,20220002,Salida,TH→HQ,EMV,
620859,Hualqui,L1,2026-05-01 20:24:12,20220002,Concepcion,L1,2026-05-01 21:00:25,20221512,Salida,HQ→TH,EMV,
662366,Concepcion,L1,2026-05-01 17:27:59,20221511,Los Condores,L1,2026-05-01 17:46:52,20222701,Salida,HQ→TH,EMV,
692793,Manquimavida,L1,2026-05-01 17:02:28,20220601,UTF Santa Maria,L1,2026-05-01 17:42:01,20222401,Salida,HQ→TH,EMV,
756502,Concepcion,,2026-05-01 12:35:19,20221503,Concepcion,,2026-05-01 12:37:39,20221802,Salida,,EMV,
812547,Hualqui,L1,2026-05-01 11:47:03,20220001,Concepcion,L1,2026-05-01 12:48:23,20221517,Salida,HQ→TH,EMV,
817679,Hualqui,L1,2026-05-01 11:47:04,20220002,Concepcion,L1,2026-05-01 12:48:23,20221507,Salida,HQ→TH,EMV,
854256,La Leonera,L1,2026-05-01 16:54:29,20220302,Mercado,L1,2026-05-01 17:56:51,20223603,Salida,HQ→TH,EMV,
